Date,Item Code,Description,Volume ,Value
1/2/2020,100100,A,,1000
1/3/2020,100101,B,7/18/1900,2000
1/4/2020,100102,C,10/26/1900,3000
1/5/2020,100103,D,2/3/1901,4000
1/6/2020,100104,E,5/14/1901,5000
1/7/2020,100105,F,8/22/1901,6000
1/8/2020,100106,G,11/30/1901,7000
1/9/2020,100107,H,3/10/1902,8000
1/10/2020,100108,I,6/18/1902,9000
1/11/2020,100109,J,9/26/1902,10000
1/12/2020,100110,A,1/4/1903,1000
1/13/2020,100101,B,4/14/1903,2000
1/14/2020,100103,C,7/23/1903,3000
1/15/2020,100107,D,10/31/1903,4000
1/16/2020,100107,E,2/8/1904,5000
1/17/2020,100110,F,,6000
1/18/2020,100100,G,8/26/1904,7000
1/19/2020,100104,H,12/4/1904,8000
1/20/2020,100110,I,3/14/1905,9000
1/21/2020,100109,J,6/22/1905,10000
1/22/2020,100102,A,9/30/1905,1000
1/23/2020,100100,B,1/8/1906,2000
1/24/2020,100104,C,,3000
1/25/2020,100109,D,7/27/1906,4000
1/26/2020,100110,E,11/4/1906,5000
1/27/2020,100108,F,2/12/1907,6000
1/28/2020,100108,G,5/23/1907,7000
1/29/2020,100101,H,8/31/1907,8000
1/30/2020,100101,I,12/9/1907,9000
1/31/2020,100104,J,3/18/1908,
2/1/2020,100108,A,6/26/1908,1000
2/2/2020,100107,B,10/4/1908,2000
2/3/2020,100100,C,1/12/1909,3000
2/4/2020,100106,D,4/22/1909,4000
2/5/2020,100105,E,7/31/1909,5000
2/6/2020,100101,F,11/8/1909,6000
2/7/2020,100103,G,2/16/1910,
2/8/2020,100107,H,5/27/1910,8000
2/9/2020,100108,I,9/4/1910,9000
2/10/2020,100102,J,12/13/1910,10000
2/11/2020,100110,A,3/23/1911,1000
2/12/2020,100109,B,7/1/1911,2000
2/13/2020,100101,C,10/9/1911,3000
2/14/2020,100105,D,1/17/1912,4000
2/15/2020,100104,E,4/26/1912,5000
2/16/2020,100104,F,8/4/1912,
2/17/2020,100109,G,11/12/1912,7000
2/18/2020,100101,H,2/20/1913,8000
2/19/2020,100104,I,5/31/1913,9000
2/20/2020,100106,J,9/8/1913,10000
2/21/2020,100100,A,12/17/1913,11000
2/22/2020,100100,B,3/27/1914,12000
2/23/2020,100105,C,7/5/1914,13000
2/24/2020,100102,D,10/13/1914,14000
2/25/2020,100108,E,1/21/1915,15000
2/26/2020,100108,F,5/1/1915,
2/27/2020,100103,G,8/9/1915,17000
2/28/2020,100108,H,11/17/1915,18000
2/29/2020,100101,I,2/25/1916,19000
3/1/2020,100109,J,6/4/1916,20000
3/2/2020,100105,A,9/12/1916,21000
3/3/2020,100105,B,12/21/1916,22000
3/4/2020,100100,C,3/31/1917,23000
3/5/2020,100110,D,7/9/1917,24000
3/6/2020,100103,E,10/17/1917,25000
3/7/2020,100109,F,1/25/1918,26000
3/8/2020,100100,G,5/5/1918,27000
3/9/2020,100106,H,8/13/1918,28000
3/10/2020,100108,I,11/21/1918,29000
3/11/2020,100103,J,3/1/1919,30000
3/12/2020,100107,A,6/9/1919,31000
3/13/2020,100108,B,9/17/1919,32000
3/14/2020,100106,C,12/26/1919,33000
3/15/2020,100105,D,4/4/1920,34000
3/16/2020,100104,E,7/13/1920,35000
3/17/2020,100104,F,10/21/1920,36000
3/18/2020,100100,G,1/29/1921,37000
3/19/2020,100109,H,5/9/1921,38000
3/20/2020,100102,I,8/17/1921,39000
3/21/2020,100102,J,11/25/1921,40000
3/22/2020,100110,A,3/5/1922,41000
3/23/2020,100107,B,6/13/1922,42000
3/24/2020,100100,C,9/21/1922,43000
3/25/2020,100101,D,12/30/1922,44000
3/26/2020,100110,E,4/9/1923,45000
3/27/2020,100104,F,7/18/1923,46000
3/28/2020,100106,G,10/26/1923,47000
3/29/2020,100107,H,2/3/1924,48000
3/30/2020,100106,I,5/13/1924,49000
3/31/2020,100109,J,8/21/1924,50000
4/1/2020,100105,A,11/29/1924,51000
4/2/2020,100110,B,3/9/1925,52000
4/3/2020,100106,C,6/17/1925,53000
4/4/2020,100108,D,9/25/1925,54000
4/5/2020,100110,E,1/3/1926,55000
4/6/2020,100100,F,4/13/1926,56000
4/7/2020,100102,G,7/22/1926,57000
4/8/2020,100106,H,10/30/1926,58000
4/9/2020,100102,I,2/7/1927,59000
4/10/2020,100106,J,5/18/1927,60000
4/11/2020,100110,A,8/26/1927,61000
4/12/2020,100103,B,12/4/1927,62000
4/13/2020,100106,C,3/13/1928,63000
4/14/2020,100102,D,6/21/1928,64000
4/15/2020,100100,E,9/29/1928,65000
4/16/2020,100102,F,1/7/1929,66000
4/17/2020,100107,G,4/17/1929,67000
4/18/2020,100105,H,7/26/1929,68000
4/19/2020,100104,I,11/3/1929,69000
4/20/2020,100107,J,2/11/1930,70000
4/21/2020,100102,A,5/22/1930,71000
4/22/2020,100104,B,8/30/1930,72000
4/23/2020,100104,C,12/8/1930,73000
4/24/2020,100100,D,3/18/1931,74000
4/25/2020,100108,E,6/26/1931,75000
4/26/2020,100109,F,10/4/1931,76000
4/27/2020,100105,G,1/12/1932,77000
4/28/2020,100105,H,4/21/1932,78000
4/29/2020,100109,I,7/30/1932,79000
4/30/2020,100105,J,11/7/1932,80000
5/1/2020,100103,A,2/15/1933,81000
5/2/2020,100107,B,5/26/1933,82000
5/3/2020,100109,C,9/3/1933,83000
5/4/2020,100106,D,12/12/1933,84000
5/5/2020,100104,E,3/22/1934,85000
5/6/2020,100108,F,6/30/1934,86000
5/7/2020,100109,G,10/8/1934,87000
5/8/2020,100101,H,1/16/1935,88000
5/9/2020,100109,I,4/26/1935,89000
5/10/2020,100104,J,8/4/1935,90000
5/11/2020,100104,A,11/12/1935,91000
5/12/2020,100103,B,2/20/1936,92000
5/13/2020,100106,C,5/30/1936,93000
5/14/2020,100108,D,9/7/1936,94000
5/15/2020,100110,E,12/16/1936,95000
5/16/2020,100100,F,3/26/1937,96000
5/17/2020,100106,G,7/4/1937,97000
5/18/2020,100105,H,10/12/1937,98000
5/19/2020,100103,I,1/20/1938,99000
5/20/2020,100105,J,4/30/1938,100000
5/21/2020,100103,A,8/8/1938,101000
5/22/2020,100103,B,11/16/1938,102000
5/23/2020,100110,C,2/24/1939,103000
5/24/2020,100104,D,6/4/1939,104000
5/25/2020,100108,E,9/12/1939,105000
5/26/2020,100100,F,12/21/1939,106000
5/27/2020,100102,G,3/30/1940,107000
5/28/2020,100109,H,7/8/1940,108000
5/29/2020,100103,I,10/16/1940,109000
